Song Number,Song Name,Singer,Lyrics,Lyrics Status,Writer,Composer,Category,Image Name,Year,Recording Status,SoundCloud Link
724,هز الشوق,عادل عبدالمجيد,"هز الشوق حنايا الخاطر - جاء غيمك يا عيني ماطر
خطرت انت مسحت دموعي - خطرت انت نورت شموعي
ياللي حتى وانت مباعد - وين تخطر تهدى الخواطر
وين تخطر ربيعي الدايم – قلبي الهايم يطير بشوق مع المسايم – شورك يا الغالي علي
وننسى معاك فرحة معادك – مر بعادك – ونرحل في زمان ودادك – ونشوفك حنون علي
وين تخطر يا حب سنيني – تفرح عيني – تهدى روحي يروق حنيني – ذكرى ايامك يا هوايا
بأيامك عايش من صغري - رحلة عمري – ونسيانك ما يراود فكري - كنت بعيد ولا معايا",مكتوبة كاملة,فرج المذبل,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/kHkL1
725,ابتهالات دينية - هون على الروح,عادل عبدالمجيد,,الكلمات غير موجودة,,,ابتهالات,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/1m13E
726,ورد الجناين,عادل عبدالمجيد,"ورد الجناين و الزهر و الحنه - و الورد ياما خبروني عنه

قاللي الزهر موالي - عايش مع الغالي اللي في بالي
غير شوف شغلك و انتبه لاعمالك - و بايدك صورها بلادك جنة

الفل في الصبحية - ميل عليا و قال جد شوية
كانك علي اللي صابك سواد صبيه - يرجاك مهما طال بعدك عنه",وجب التأكد من اكتمال الكلمات,عبدالسلام قادربوه,يوسف العالم,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا يوجد,
727,يا أغلى حبيب,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/ekdQg
728,لو كان حبك ما سكن وجداني ,عادل عبدالمجيد,"لو كان حبك ما سكن وجداني – لو كان حبك ما سنين زهاني
راني أحملت الوعد – راني خلفت الوعد
راني عليك ما نلوم – لا أنقولك عود ثاني

لو كان ما دللتني بحنانك وذوبتني بزمانك
وشاركتني في فرحتك وأحزانك
وعيني بقيت هي عينك والفرق بيني وبينك
أنت قدرت تهون – ونا غلبت في نسياني

لو كان ماني اللي عليك أموالف – لا نا اللي معاك حالف
نصون الغلا ما يوم وعده نخالف
واني الحنين داريته – وعليك خاطري سهيته
بسيرة غلاك وأيام – كنت بوفاك ترعاني",مكتوبة كاملة,فرج المذبل,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/HBb2b
729,يا بحر الحب ,عادل عبدالمجيد,"يا بحر الحب انا والله عوام قديم - لا بحر الشوق توهني لا معاك نهيم
مرساتي انا اللي نرميها - و حكيتي انا اللي ننهيها

يا بحر الحب في تيارك - معاك ماشي ماني مغدوع
انا عارف لعبة تيارك - تنسيني منين الرجوع
مش اول رحلة ما نغرك - عايش حلوك ضايق مرك

مسافر زاده احلام هنية - صبر و شمعه و ضحكة ود
وموعد في مرسى الحنيه - معاي حالف يرعى العهد
يا بحر الحب خللي الرحلة -  مع محبوبي تكون سهلة",مكتوبة كاملة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/MbjAQ
730,يا شمس يا شموسة كان قابلك مشكاي,عادل عبدالمجيد,,الكلمات غير موجودة,عبدالجليل خالد,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/v834w
731,يالحباب ديمة غاليين,عادل عبدالمجيد,"يالحباب ديمة غاليين
سوى معانا والا غايبين",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/pxtyS
732,يا مراد العين,عادل عبدالمجيد,لو تعرف يا مراد العين - عليك واجد رانا مرايفين,مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/Ddg6a
733,يصعب علينا,عادل عبدالمجيد,يصعب علينا تبعدوا وتنسونا - يللي بحنان الحب ولفتونا,مطلع الأغنية/رأس البيت فقط,فرج المذبل,إبراهيم أشرف,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/9C94f
734,حالك كيف حالي يا صاحب,عادل عبدالمجيد,"حالك كيف حالي يا صاحب
ليش تشكي من بُعد الغالي  يا صاحب

جيت اتشاكيني 
صحيت حنيني وخطرت الغايب عن عيني
اللي حبه ما غاب عن بالي يا صاحب

النسيان صحيح
صعيب والله ع المجاريح نصبر يمكن عون الريح
يوصلنا لشطوط غوالي يا صاحب",وجب التأكد من اكتمال الكلمات,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/AFYeV
735,سهيت عن حبك,عادل عبدالمجيد,"عديت وسهيت عن حبك ويامى معاك
وغبت لقيت قلبى موش ممكن ينساك",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/uC2JN
736,عالجبين مكتوب نفارق المحبوب,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/Qt8RB
737,عشق الجماهيرية,عادل عبدالمجيد,,الكلمات غير موجودة,,,وطنيات,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/U3on3
738,عيوني وقلبي,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/a3ho5
739,لازم منها الوحدة الكبرى,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,لا بأس,https://on.soundcloud.com/m96Vf
740,يا محلى العيد,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,رديء,https://on.soundcloud.com/HGTEU
741,يا أخي الانسان,عادل عبدالمجيد,,الكلمات غير موجودة,,,طرب ليبي,AdelAbdulmagid.jpg,غير معروف,جيد,https://on.soundcloud.com/ijgyp
742,ابعت مرسال,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/8AuMQ
743,احكيلي ايش اللي يرضيك,سيف النصر,احكيلي ايش اللي يرضيك - حرام عليك العقل سلمته في ايديك,مطلع الأغنية/رأس البيت فقط,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/jfNPv
744,اسال ما بدالك,سيف النصر,,الكلمات غير موجودة,محمد اميمه,سيف النصر,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/XqP1L
745,أطمن حبيبي,سيف النصر,"اطمن حبيبي ماتقول نسيني ماحد غيرك يوم ولا يوم يملا عيني
اطمن علي طبعي وفي مايحول ما بيني وبينك شيء",الكلمات غير مكتملة,عبدالله منصور,سيف النصر,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/455pK
746,الخو,سيف النصر,"خو ما فرح لفرحتي
وريته جلا نومه بدمي شاقي
خو ما مسحلي دمعتي
و لا دمعته سالت نهار فراقي
نقول خوي عليش
و نخسر وجابي ليش
نا قولتلك و انت عليك الباقي",وجب التأكد من اكتمال الكلمات,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/vhxRz
747,السدرة,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/jzagM
748,الصاحب علي الصاحب ايدافع دونه,سيف النصر,الصاحب علي الصاحب ايدافع دونه - لا يتركه مدعاه مدعى الرفق ولا ايهونه,مطلع الأغنية/رأس البيت فقط,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/QG8Yt
749,الضيف,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,لا يوجد,
750,العيون السود,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/hUwwL
751,القدس,سيف النصر,,الكلمات غير موجودة,,سيف النصر,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/jLTVh
752,اللي ما يخش الربق,سيف النصر,اللي ما يخش الربق يسري منه يطرف بروحه والذياب يجنه,مطلع الأغنية/رأس البيت فقط,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/8GA78
753,المناصب,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/gNfy9
754,الوردة,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/eHgYL
755,اليوم ضميها,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/eFWuU
756,انت زهاء عمري و فرح سنيني,سيف النصر,"انت زهاء عمري و فرح سنيني
ويش الحياة كان فارقتيني",مطلع الأغنية/رأس البيت فقط,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,
757,أنت ودلالك,سيف النصر,,الكلمات غير موجودة,محمد اميمه,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/26RyY
758,انغيب,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,لا يوجد,
759,بشاير العام,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/tjnVa
760,ترحلي,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/99jsA
761,تفكري مهما غيابي طال,سيف النصر,"لا تفكري مهما غيابي طال
لا تفكري يأم الغتيت طوال
مازال عقلي رايدك مازال",الكلمات غير مكتملة,,,شعبي,SaifAlnaser.jpg,غير معروف,لا يوجد,
762,تمهل حبيبي,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,غير معروف,تسجيل مرئي فقط,https://on.soundcloud.com/pKZ4L
763,جابك منام الليل وانا غافي ,سيف النصر,,الكلمات غير موجودة,,,شعبي,SaifAlnaser.jpg,1979,لا بأس,https://on.soundcloud.com/dj1s1
764,جوب الدنيا كان تلاقي ,سيف النصر,"جوب الدنيا كان تلاقي - ودادة كيف غواليك
فارق كان قدرت فراقي - فارق كان نهون عليك
تكفيني يا منايا شواقي - وين نسهى تفكرني بيك",وجب التأكد من اكتمال الكلمات,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/bzr2n
765,حبك في كنيني طالق نار,سيف النصر,"حبك في كنيني طالق نار
حبك في كنيني حاز الموح
مابينك وبيني طالق نار",الكلمات غير مكتملة,,,شعبي,SaifAlnaser.jpg,غير معروف,جيد,https://on.soundcloud.com/p39mx
